trader,title,year_or_status,video_id_or_type,topics,extraction_depth,source_strength,kraken_small_account_fit,url
CryptoCred,Market Structure,public,BHwoN7VPrBE,HH/HL; LH/LL; structure,HIGH,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=BHwoN7VPrBE
CryptoCred,Overthrow — Stop Loss Placement,public,uDoi2EwJy8E,stop placement; invalidation,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=uDoi2EwJy8E
Dan McDermitt / Chart Guys,Stair Step Trading Strategy,2021,gkoJ5QoDiic,countertrend; tight stop; entry location,MEDIUM,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos/stair-step-trading-strategy
Dan McDermitt / Chart Guys,BackBurner Trade Strategy,2020,site-video,first countertrend pullback; oversold/overbought; MTF,HIGH,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos/backburner-trade-strategy
Dan McDermitt / Chart Guys,EMA Rider Strategy,2025,site-video,EMA12; trend pullback; risk; exits,MEDIUM,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos/ema-rider-strategy
Dan McDermitt / Chart Guys,How I Trade Crypto Breakdowns,2022,site-video,crypto breakdowns; execution; trade review,MEDIUM,DIRECT_PRIMARY_HOST,MEDIUM,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,How I Scalp Trade,2022,site-video,scalping; execution; risk,MEDIUM,DIRECT_PRIMARY_HOST,LOW_SMALL_ACCOUNT_FEES,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,Trading Equilibriums,2020,site-video,tightening ranges; breakout direction,HIGH,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,Inside Bar / tightening education,public,site-video,mother bar; inside range; lower-TF equilibrium,HIGH,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,Trading Correlations,2022,site-video,relative strength; relative weakness; correlated markets,MEDIUM,DIRECT_PRIMARY_HOST,HIGH,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,Later Morning Strategy,2023,site-video,wait for direction/strength clarity; avoid open noise,MEDIUM,DIRECT_PRIMARY_HOST,LOW_FOR_24_7_CRYPTO,https://www.chartguys.com/educational-videos
Dan McDermitt / Chart Guys,"How $3,000 turned into Day Trading Full Time",2025,VoeKsIBAWIA,career story; small account; evolution,LOW_RULE_EXTRACTION,DIRECT_PRIMARY_HOST,CONTEXT,https://www.chartguys.com/watch?v=VoeKsIBAWIA
Eric Krown,TA 101 / Free Technical Analysis Course,current,course/playlist,trend; structure; S/R; MA; RSI; volatility; confluence; risk,HIGH_CURRICULUM,DIRECT_PRIMARY,HIGH,https://krown-trading.teachable.com/
Eric Krown,Krown Quant Project — 12 Statistically Tested Bitcoin Trading Strategies,public,vacro9FmdHE,systematic strategies; statistics; Bitcoin,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH_RESEARCH,https://www.youtube.com/watch?v=vacro9FmdHE
Eric Krown,Beginner-Friendly 15-Min Crypto Day Trading,public,wqhLch_L8Lg,15m; systematic setup,MEDIUM,DIRECT_PUBLIC_VIDEO,LOW_SMALL_ACCOUNT_FEES,https://www.youtube.com/watch?v=wqhLch_L8Lg
Eric Krown,Krown Trading Jewel Lite Indicator Tutorial,public,imev_QEGPuA,Jewel Lite; oscillator workflow,MEDIUM,DIRECT_PUBLIC_VIDEO,PROPRIETARY_BOUNDARY,https://www.youtube.com/watch?v=imev_QEGPuA
Eric Krown,Strategies — Live Krown playlist,public,playlist,live strategy examples; daily analysis,VARIABLE,DIRECT_PUBLIC_VIDEO_INDEX,RESEARCH_ONLY,https://www.youtube.com/c/KrownsCryptoCave/playlists
Benjamin Cowen,Bitcoin: Entry/Exit Strategies,2023,ReziClqylXA,DCA; risk-based entry/exit; plan,HIGH_CONCEPT,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=ReziClqylXA
Benjamin Cowen,Bitcoin Dynamic DCA: How I Navigate Crypto,public,hx_neha7BVQ,dynamic DCA; risk metric; allocation,HIGH_CONCEPT,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=hx_neha7BVQ
Benjamin Cowen,Bitcoin: Risk Metric,public,g_ryyK58svM,risk bands; allocation context,MEDIUM,DIRECT_PUBLIC_VIDEO,PROPRIETARY_FORMULA,https://www.youtube.com/watch?v=g_ryyK58svM
Benjamin Cowen,Bitcoin Risk Metric,2024/25,Y_WtgM8nSHw,risk metric update,MEDIUM,DIRECT_PUBLIC_VIDEO,PROPRIETARY_FORMULA,https://www.youtube.com/watch?v=Y_WtgM8nSHw
Benjamin Cowen,Using On-Chain Metrics To Identify Market Cycle Risk,public,Di8YR9nX8Q8,on-chain risk; cycle context,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH_CONTEXT,https://www.youtube.com/watch?v=Di8YR9nX8Q8
Bob Loukas,The Next 4-Year Cycle Started,2019,PZvOhJYW_Hw,4y cycle; position framework,HIGH_CONCEPT,DIRECT_PUBLIC_VIDEO,HIGH_REGIME,https://www.youtube.com/watch?v=PZvOhJYW_Hw
Bob Loukas,Watch That Swing — Bitcoin,2019,oPXQa47iT28,4y journey; swing/cycle position,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH_REGIME,https://www.youtube.com/watch?v=oPXQa47iT28
Bob Loukas,Bitcoin Cycles — A Trader's Perspective,public,video,60-day cycle; tactical cycle,MEDIUM,DIRECT_PUBLIC_VIDEO,MEDIUM,https://www.youtube.com/@bobloukas3493
Bob Loukas,Divorce Yourself from Emotion — 4-Year Journey,public,video,allocation; risk; emotional discipline,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/@bobloukas3493
Bob Loukas,Turn in Cycle / 2026 model portfolio update,2026,video/post,cycle window; model portfolio; allocation,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH_REGIME,https://www.youtube.com/@bobloukas3493
Jason Pizzino,How To Swing Trade For Beginners — Part 1,public,wrNFtyCJsNY,plan; entry; stop; target; TA,HIGH_CONCEPT,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=wrNFtyCJsNY
Jason Pizzino,Swing Trading for Beginners playlist,public,playlist,swing setup; money management; psychology,VARIABLE,DIRECT_PUBLIC_VIDEO_INDEX,HIGH,https://www.youtube.com/@JasonPizzinoOfficial
Alessio Rastani,Opening Gap — Live Example,public,LeadingTrader site,previous close; current open; gap-fill target; 5m/2m Dow example,HIGH_FOR_ORIGINAL_MARKET,DIRECT_PRIMARY,ADAPTATION_ONLY,https://leadingtrader.com/
Alessio Rastani,Elliott Wave Method / Trading Tutorial,public,YouTube,Elliott Wave; Fibonacci; trend; scenarios,MEDIUM_CONCEPT,DIRECT_PUBLIC_VIDEO,LOW_EXACTNESS,https://www.youtube.com/user/alessiorastani
Chris Dunn,My Crypto Breakout Trading Strategy / 1234 Pattern,2018,public guide/video,swing; 1234 breakout; volume; catalyst; risk; ETH/XRP,HIGH,DIRECT_PRIMARY,VERY_HIGH_SMALL_ACCOUNT,https://www.chrisdunn.com/blog/my-crypto-breakout-trading-strategy
Chris Dunn,Ultimate Crypto Breakout Trading Strategy,2018,guide,trend; low-volume pullback; consolidation; high-volume breakout; scale-out,VERY_HIGH,DIRECT_PRIMARY,VERY_HIGH_SMALL_ACCOUNT,https://wealthincubator.com/the-ultimate-crypto-breakout-trading-strategy-guide-case-studies/
Chris Dunn,A Recap Of My Bitcoin Trades & Predictions,2015,trade recap,wins; losses; missed fills; risk,HIGH_CONTEXT,DIRECT_PRIMARY_SELF_REPORTED,HIGH,https://www.chrisdunn.com/a-recap-of-my-bitcoin-trades-predictions/
Josh Olszewicz,Understanding & Using the Ichimoku Cloud on Cryptocurrencies,current-indexed,YouTube guide,20/60/120/30; fractal trailing stops; reversals; edge-to-edge; checklist,VERY_HIGH,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/c/carpenoctom
Josh Olszewicz,Better Know An Indicator: Ichimoku Cloud Strategies,2016,YouTube guide,Ichimoku; crypto settings; cloud strategies,HIGH,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=FDR76ZdU3nw
Eric Krown,Long Term Investor Tool public specification,2026,public course/product page,BBWP; RSI; PMARP; drawdown; 21/55 EMA; sentiment; hash ribbons; seasonality; convergence,HIGH_PUBLIC_CORE,DIRECT_PRIMARY,HIGH_LONG_TERM,https://krown-trading.teachable.com/p/longterminvestortool
Benjamin Cowen,The Balance of Risks (August 2026),2026,research memo,macro regime; probabilities; dominance; on-chain risk; liquidity; labor; Fed,HIGH_CONTEXT,DIRECT_PRIMARY,HIGH_REGIME,https://benjamincowen.com/reports/the-balance-of-risks-august-2026
Benjamin Cowen,Bitcoin Cycle Memo - July 2026,2026,research memo,200-week SMA; cycle timing; on-chain reset; bottom-watch,HIGH_CONTEXT,DIRECT_PRIMARY,HIGH_REGIME,https://benjamincowen.com/reports/bitcoin-cycle-memo-july-2026
Jason Pizzino,Bitcoin: Tracking The Bull Market Confirmation (New 3-Bar Signal),2026,candidate video,weekly three-bar; structure; contraction; confirmation,SECONDARY_ONLY_PENDING_PRIMARY,SECONDARY_REPORTED,RESEARCH_ONLY,https://www.youtube.com/
